,泡泡椒(精品),青尖椒,红椒(1),七彩椒(1),红灯笼椒(1),青线椒,红杭椒,小米椒,灯笼椒(1),螺丝椒,红尖椒,青杭椒(2),芜湖青椒(1),组合椒系列,青杭椒(1),红线椒,小皱皮,余干椒,辣妹子,紫尖椒,小米椒(份),青尖椒(份),红灯笼椒(份),灯笼椒(份),七彩椒(份),小皱皮(份),水果辣椒,水果辣椒(橙色),青线椒(份),青杭椒(份),红杭椒(份),红尖椒(份),水果辣椒(份),螺丝椒(份),灯笼椒(2),红灯笼椒(2),七彩椒(2),姜蒜小米椒组合装(小份),紫螺丝椒,红椒(份),青红杭椒组合装(份),红椒(2),青红尖椒组合装(份)
红尖椒,0.1671443668471783,0.15005008572837525,0.20716565741095147,0.003788285314434281,0.06170030558368177,0.16994722852933025,0.1380596691499235,0.15468990154641157,0.07263708864579282,0.26727104457145506,1.0,0.11468446308119218,0.18909423468788678,0.026918814229404037,0.027591629176569727,0.2405009188363985,0.07457034294519607,0.04581410831977888,0.14722615314866036,0.002939492174538004,0.09530277711400431,0.0840127301306362,0.1206953099726189,0.08902715616978223,0.3041988217730671,0.1571968287354258,0.0892792259062749,0.09957032685554217,0.1646121181096947,0.023719643104838255,0.10097920824956878,0.11606624204905051,0.06326328140382999,0.23322592518267002,0.026902751096595543,0.07871025756952747,0.1694163273550961,0.2191200359347126,0.01893566600735231,0.0033810959839021214,0.18238280204752408,0.21393485874440127,0.05363047103932547
青杭椒(2),0.029114253930582156,0.14353506512939787,0.006134911219734167,0.0033589046874219486,0.028686485289759332,0.07033584265368938,0.12129497078099935,0.16879455399452864,0.018067403061954184,0.006132184966963797,0.11468446308119218,1.0,0.06262378369835177,0.1639979618961956,0.06308756098100832,0.21529222567738468,0.22927950088980562,0.07479362861235687,0.04938989148100839,0.008416570238392132,0.15511326451471644,0.0873692836258723,0.018385146603092338,0.012226591434726843,0.020137419016563993,0.1402489199570005,0.03462701604041882,0.0070525704127341994,0.10244937044692538,0.061075294655407876,0.08303581123113223,0.09907795429714905,0.055851400229315486,0.12672460775469815,0.05957421298460772,0.06923277381824681,0.09917188063722147,0.12485583862618886,0.017583192986752053,0.02767059771167984,0.09406407589441594,0.11038528574038764,0.02813210269012999
芜湖青椒(1),0.4525093008663851,0.11094890709621669,0.4691510723804038,0.140548349947379,0.06963267667271401,0.18957813986532926,0.27183249392991593,0.3292674888497626,0.040573533144743254,0.21118884838921162,0.18909423468788678,0.06262378369835177,1.0,0.32759528059229925,0.20594546807615763,0.004879713510319201,0.19204736894575547,0.022649492127136562,0.05507894082205291,0.007901608831423202,0.2715043197553942,0.15185734505065107,0.05543949758222712,0.04279418109794308,0.15693113488638077,0.21162837957840885,0.00021913752204234428,0.013661891170281404,0.1277923966759829,0.08809333465084482,0.17277337394082148,0.15373252965903705,0.005535467932856099,0.15928732465146386,0.05301995313140674,0.1392314471337593,0.04406765330265356,0.19217310379003397,0.09863767599045924,0.006416761087585791,0.1425770631554869,0.12051213166479906,0.014451758375102175
组合椒系列,0.08531377811385997,0.24126602224786772,0.30066750653206226,0.03570050584148403,0.07204279449979789,0.2665829810111893,0.4698440794737794,0.38944787026681255,0.06375361785430475,0.233063713834555,0.026918814229404037,0.1639979618961956,0.32759528059229925,1.0,0.0704790104418434,0.0030012663741223826,0.02143042821976547,0.03334313083414237,0.06530965193220507,0.011129469133247888,0.20511066154942997,0.11553087751500599,0.024311199910861083,0.0161675680382157,0.026628279337088084,0.18548566082110984,0.045788283740615845,0.009325813543448525,0.1354717032965146,0.08076159141056943,0.10980060426937394,0.13101358426328752,0.07385388790144397,0.16757153691837953,0.07877666861559869,0.09185673175377662,0.1311377857221987,0.16510041058736633,0.023250753937435406,0.036927978372590375,0.12438359088825007,0.1459655887868033,0.03719987592035754
青杭椒(1),0.028659155434862634,0.13803862187981075,0.30007942782320757,0.22173001966165617,0.19776192508970103,0.20780739343752916,0.33199272356914206,0.34013550812204274,0.14959852490559578,0.04852669811905642,0.027591629176569727,0.06308756098100832,0.20594546807615763,0.0704790104418434,1.0,0.009229907146950645,0.005371863008844628,0.03061162026669981,0.013951250197120313,0.0023774435147847295,0.043815118787394476,0.024679356420056288,0.005193284951215304,0.003453666955908032,0.005688252445996163,0.03962288552356271,0.009781154602158604,0.0019921520661509624,0.028939055275958907,0.01725204674580185,0.023455272791029068,0.027986725379825595,0.01577644402718115,0.03579612458953355,0.01682803354537403,0.019622157048348455,0.02801325691960343,0.035268250061149274,0.00496675569163286,0.007888442983659589,0.026570446259605928,0.031180727336421233,0.007946524914961596
红线椒,0.06352212548465669,0.015284854792942984,0.009589625255712105,0.03905561870274111,0.054794057092539705,0.003009477296841106,0.022995511796483195,0.07892993958471026,0.04926711735715894,0.03920914423275005,0.2405009188363985,0.21529222567738468,0.004879713510319201,0.0030012663741223826,0.009229907146950645,1.0,0.07409973862985443,0.01514178838224251,0.029658430511353053,0.005054116461366603,0.05790922720921065,0.010864760829468613,0.01104020633814361,0.007342018813647048,0.012092438850780136,0.07241198064724742,0.25150059496587857,0.004235040070758847,0.05389190213449987,0.013283334949799216,0.02773366460428874,0.059384908042034994,0.006763357205646788,0.07362427898650026,0.03577407447335539,0.008723590666523773,0.04612349428106191,0.07495163888603494,0.010558636427978793,0.062102028419134585,0.0564850979598105,0.0662859186047414,0.016893214132578025
小皱皮,0.09575944283918529,0.009604706314416124,0.21816933175625852,0.3049964432972244,0.10350248559573123,0.16922707036368376,0.0002817485157019912,0.22786344534214778,0.20262437197902425,0.06660840666659086,0.07457034294519607,0.22927950088980562,0.19204736894575547,0.02143042821976547,0.005371863008844628,0.07409973862985443,1.0,0.02995317993667108,0.010084923189308068,0.007619067729427971,0.09942999252796185,0.06576836073622194,0.012582453031609857,0.011068074714840595,0.018229320856042928,0.05705329585939004,0.19036794828068032,0.006384312150818201,0.06046533851427723,0.021450026212121383,0.005828207958683761,0.044524137959420354,0.03909828629119989,0.048159892394374,0.0014476547891368846,0.15970869181979744,0.005547348262618804,0.012731111941629692,0.2685344966713576,0.03727390553233942,0.03446382116873573,0.06913267445046797,0.004153942891586321
余干椒,0.04901960687288601,0.04135848341429263,0.03167271369663558,0.025452278409694357,0.03157009794281205,0.026612852950218514,0.051437172448999875,0.057056363389725535,0.10566607931673659,0.030540628111563464,0.04581410831977888,0.07479362861235687,0.022649492127136562,0.03334313083414237,0.03061162026669981,0.01514178838224251,0.02995317993667108,1.0,0.019121519356242806,0.003900228465840881,0.07187929911523865,0.040486820330136127,0.008519654692947395,0.005665787678739523,0.009331655609396115,0.06500188334937045,0.01604611734028257,0.003268152596840667,0.04747491431865122,0.02830221765251351,0.038478694465184024,0.04591260415368945,0.02588147129549316,0.05872402991813148,0.027606618222320283,0.03219041588380227,0.045956129506044066,0.05785804456487556,0.008148030357363835,0.012941098152154345,0.04358917896781,0.05115240786452288,0.013036382351508115
辣妹子,0.09601538255800315,0.09973608195026093,0.011479215440923984,0.05212332086647312,0.08344670653326394,0.02314780077518582,0.04206337789202862,0.07380209857008092,0.07272838549248167,0.04825240104363579,0.14722615314866036,0.04938989148100839,0.05507894082205291,0.06530965193220507,0.013951250197120313,0.029658430511353053,0.010084923189308068,0.019121519356242806,1.0,0.0836023934682762,0.12644848906268155,0.07930209543776122,0.01668756558424976,0.011097656757575824,0.018278043019787867,0.12732008873438408,0.031429752160048806,0.006401375732312412,0.09298977186891753,0.055435945502227656,0.07536875150768911,0.08992965332182194,0.05069439610245571,0.11502357031459036,0.05407346526915861,0.06305181320199583,0.09001490703199821,0.11332735281537419,0.015959659853764296,0.02534790809362944,0.08537872824717564,0.10019292938458428,0.025534542573918274
紫尖椒,0.01636205683052099,0.008728286105010693,0.002643323264789389,0.010537457000911367,0.014654933082497271,0.01621392110919904,0.019960184349381724,0.02205474662367572,0.012690245610066889,0.023863869553435817,0.002939492174538004,0.008416570238392132,0.007901608831423202,0.011129469133247888,0.0023774435147847295,0.005054116461366603,0.007619067729427971,0.003900228465840881,0.0836023934682762,1.0,0.023992301286938172,0.013513932432109965,0.002843741171239875,0.001891160413211686,0.003114775681488433,0.021696716422292952,0.005355968776161937,0.0010908634714061542,0.015846460134210948,0.009446883057651364,0.012843648200529223,0.015324982926686801,0.008638871896555109,0.01960125705065874,0.009214701729930563,0.010744709060084429,0.0153395110784658,0.019312203293024265,0.0027196981834168607,0.00431955694716147,0.014549456206707112,0.01707395586969205,0.00435136147568247
小米椒(份),0.30153754191591003,0.37561409657030165,0.060316644972118236,0.1243568803036679,0.05999920953253181,0.29640934019352316,0.2833543250046633,0.21500891393240149,0.05808010862501324,0.18694944710038255,0.09530277711400431,0.15511326451471644,0.2715043197553942,0.20511066154942997,0.043815118787394476,0.05790922720921065,0.09942999252796185,0.07187929911523865,0.12644848906268155,0.023992301286938172,1.0,0.3594277121076674,0.039278377091094135,0.029734413421584054,0.050262538137977375,0.6944992406161672,0.08810175303855756,0.022570461602837672,0.5235550120929757,0.20689719928277697,0.3521379856086557,0.48597374658082837,0.07996661267367901,0.6756628311165189,0.253818981520892,0.30780602268296187,0.48883383498122146,0.6036660760887739,0.07603543546643288,0.06004204188132808,0.5093029967670062,0.5904092111803508,0.1053429020776385
青尖椒(份),0.16984122515073266,0.24500015219079094,0.11786166417943786,0.1091490836316472,0.15051207567396072,0.27188436075986866,0.19126621041336683,0.22915676688471137,0.13173271731642114,0.22058539008837005,0.0840127301306362,0.0873692836258723,0.15185734505065107,0.11553087751500599,0.024679356420056288,0.010864760829468613,0.06576836073622194,0.040486820330136127,0.07930209543776122,0.013513932432109965,0.3594277121076674,1.0,0.0295198188705536,0.01963143250088034,0.03233332726264048,0.4822575141177125,0.01965072384093933,0.011323847758751105,0.36327664620128314,0.403386942158823,0.5781031438516596,0.5071475003215776,0.2587953975792832,0.28965370702726834,0.0795397336673094,0.3756708703356602,0.11344865862410268,0.31346547315878337,0.028232174773499062,0.1596565077312402,0.3286531167835492,0.1930135408864442,0.04516986422728678
红灯笼椒(份),0.03574125861685013,0.03831160006610003,0.004168900543906842,0.009809733349982606,0.013120714860918958,0.011465378980866482,0.00047691654184594645,0.01916333011198966,0.011885936836778663,0.02101993883329393,0.1206953099726189,0.018385146603092338,0.05543949758222712,0.024311199910861083,0.005193284951215304,0.01104020633814361,0.012582453031609857,0.008519654692947395,0.01668756558424976,0.002843741171239875,0.039278377091094135,0.0295198188705536,1.0,0.6337982007430478,0.4389395865703263,0.021937688210014978,0.01169957219654049,0.0023828809452901218,0.034614989770843374,0.020635760771643055,0.028055650745734635,0.033475875542725915,0.018870742096229718,0.04281696395016418,0.020128584139387718,0.02347073043793264,0.03350761082120191,0.0421855552456965,0.005940905666087019,0.009435635357941381,0.031781815844108545,0.03729633008076538,0.009505109134425028
灯笼椒(份),0.0237688486203115,0.0015515436555217394,0.0023291970512891173,0.013163450538415541,0.011792427610727524,0.008462998099378314,0.00026956794075059013,0.010252945216500432,0.015912116048875692,0.021881767635884133,0.08902715616978223,0.012226591434726843,0.04279418109794308,0.0161675680382157,0.003453666955908032,0.007342018813647048,0.011068074714840595,0.005665787678739523,0.011097656757575824,0.001891160413211686,0.029734413421584054,0.01963143250088034,0.6337982007430478,1.0,0.4083609766474271,0.007064995601455503,0.007780513927701278,0.001584676607950333,0.02301985111036122,0.013723307262461815,0.018657723351838212,0.022262311093664607,0.012549524823581997,0.028474373144570426,0.013386021865630449,0.015608634401149703,0.022283415863312072,0.028054470250972716,0.003950853800604555,0.00627493818456727,0.021135718184280495,0.024803010808493054,0.006321140017972839
七彩椒(份),0.03914772704754133,0.1815467048784016,0.27345088499726933,0.0725133404989539,0.04132694886023663,0.13728604743079617,0.1495667200589982,0.12333079435262423,0.05192802741832832,0.07802420615743809,0.3041988217730671,0.020137419016563993,0.15693113488638077,0.026628279337088084,0.005688252445996163,0.012092438850780136,0.018229320856042928,0.009331655609396115,0.018278043019787867,0.003114775681488433,0.050262538137977375,0.03233332726264048,0.4389395865703263,0.4083609766474271,1.0,0.021316271732781288,0.012814648298569953,0.002609991266200843,0.037914114492418625,0.02260253727398904,0.030729610540837584,0.029644791255293002,0.020669296195950582,0.046897811733333704,0.022047022075789992,0.02570770544598058,0.036701192213338105,0.04620622401162186,0.006507128244261611,0.010334937598942617,0.03481091321036486,0.04085101102702771,0.010411032860944969
小皱皮(份),0.2726928739606518,0.3815313711789072,0.10916481012463436,0.09881531594116313,0.1591493485395561,0.4158822070825774,0.2817392001674701,0.3178636554250671,0.154919708443613,0.31627681216067927,0.1571968287354258,0.1402489199570005,0.21162837957840885,0.18548566082110984,0.03962288552356271,0.07241198064724742,0.05705329585939004,0.06500188334937045,0.12732008873438408,0.021696716422292952,0.6944992406161672,0.4822575141177125,0.021937688210014978,0.007064995601455503,0.021316271732781288,1.0,0.04757883897417987,0.004900835721767382,0.6254339971474392,0.305017670847864,0.4591857285376401,0.5321562816281539,0.035904649275095665,0.6865827960046214,0.19534412292688058,0.4211451098357705,0.527830564449024,0.6793896069981352,0.028832746012438088,0.08246651912787127,0.6004884522089512,0.6280520017186967,0.07172176724369252
水果辣椒,0.06731592421581566,0.01750431176990837,0.002924207927638776,0.036428849858248694,0.04208366551737935,0.023123413339445297,0.04742295999434405,0.0073256016883313495,0.00913332436438662,0.03485749703532397,0.0892792259062749,0.03462701604041882,0.00021913752204234428,0.045788283740615845,0.009781154602158604,0.25150059496587857,0.19036794828068032,0.01604611734028257,0.031429752160048806,0.005355968776161937,0.08810175303855756,0.01965072384093933,0.01169957219654049,0.007780513927701278,0.012814648298569953,0.04757883897417987,1.0,0.2997874150904498,0.0755654513986625,0.022916516961010217,0.027449185852881967,0.07577830815285802,0.006208606841532585,0.0459233371132945,0.09172152148901694,0.07279951003362609,0.013106120403528557,0.0052886459258196855,0.18487097406569053,0.12639384669058656,0.003816121213474095,0.026792146611899503,0.017902145333358647
水果辣椒(橙色),0.013710401579973327,0.050575947704051306,0.009951957061837576,0.051968009165593194,0.01227993642668922,0.03369615737146067,0.05502349717190981,0.020017371854905625,0.010633648646052945,0.038284569458791926,0.09957032685554217,0.0070525704127341994,0.013661891170281404,0.009325813543448525,0.0019921520661509624,0.004235040070758847,0.006384312150818201,0.003268152596840667,0.006401375732312412,0.0010908634714061542,0.022570461602837672,0.011323847758751105,0.0023828809452901218,0.001584676607950333,0.002609991266200843,0.004900835721767382,0.2997874150904498,1.0,0.013278363124604325,0.007915909456923866,0.010762190622189043,0.012841397160971784,0.007238845588091347,0.016424652989562912,0.007721355723527332,0.00900340816558847,0.012853570862430436,0.01618244364287636,0.00227894051812689,0.003619524183700167,0.012191553264384918,0.014306929376724746,0.0036461744308299397
青线椒(份),0.19916454969476013,0.31041342766749025,0.14318203091994638,0.10914595651439465,0.11832775352673772,0.3446566134346175,0.2333681101185966,0.26359090741284935,0.13592396642278393,0.30425918693779747,0.1646121181096947,0.10244937044692538,0.1277923966759829,0.1354717032965146,0.028939055275958907,0.05389190213449987,0.06046533851427723,0.04747491431865122,0.09298977186891753,0.015846460134210948,0.5235550120929757,0.36327664620128314,0.034614989770843374,0.02301985111036122,0.037914114492418625,0.6254339971474392,0.0755654513986625,0.013278363124604325,1.0,0.3866148170596938,0.4264865893651718,0.501620153421472,0.025001726823337785,0.5837396600156373,0.21695682270892058,0.42883628446134914,0.4095449225864096,0.4076843834550705,0.024194954886557804,0.1395574065836676,0.5272076603335746,0.5229029922770542,0.14312599134679777
青杭椒(份),0.11873214549249737,0.1433312173032894,0.07153864191920416,0.07646562352841471,0.10569405779506941,0.17650638939987354,0.12083222739935974,0.15201490000173112,0.09208744986751234,0.09979819282179386,0.023719643104838255,0.061075294655407876,0.08809333465084482,0.08076159141056943,0.01725204674580185,0.013283334949799216,0.021450026212121383,0.02830221765251351,0.055435945502227656,0.009446883057651364,0.20689719928277697,0.403386942158823,0.020635760771643055,0.013723307262461815,0.02260253727398904,0.305017670847864,0.022916516961010217,0.007915909456923866,0.3866148170596938,1.0,0.44502815521236455,0.30511617824023574,0.3688201875877699,0.04064513869508596,0.09260993037715726,0.3547069668730852,0.151451393151867,0.11942755928861996,0.01973563615833315,0.22223446116848902,0.24983180691550128,0.007091942995428144,0.03157588860450916
红杭椒(份),0.161424027109616,0.21846005356723183,0.10203875255238519,0.09844913481182654,0.14357971561009394,0.25661157514451743,0.18052640609726975,0.2143805484678832,0.12223137483057533,0.20261891592857362,0.10097920824956878,0.08303581123113223,0.17277337394082148,0.10980060426937394,0.023455272791029068,0.02773366460428874,0.005828207958683761,0.038478694465184024,0.07536875150768911,0.012843648200529223,0.3521379856086557,0.5781031438516596,0.028055650745734635,0.018657723351838212,0.030729610540837584,0.4591857285376401,0.027449185852881967,0.010762190622189043,0.4264865893651718,0.44502815521236455,1.0,0.47292418608596787,0.2305507484653603,0.2682653624995615,0.05829558528998943,0.4317278515692788,0.1406128431806242,0.3427838074264237,0.0006089081388388698,0.24694620527372602,0.303390913471943,0.1733922154979574,0.04292946174737979
红尖椒(份),0.19260243600601806,0.28300196652433784,0.11790271577785161,0.11355069389991305,0.14012415742578255,0.30641617585340386,0.2146106260777394,0.2584286580739928,0.14529878783275213,0.2574328057261958,0.11606624204905051,0.09907795429714905,0.15373252965903705,0.13101358426328752,0.027986725379825595,0.059384908042034994,0.044524137959420354,0.04591260415368945,0.08992965332182194,0.015324982926686801,0.48597374658082837,0.5071475003215776,0.033475875542725915,0.022262311093664607,0.029644791255293002,0.5321562816281539,0.07577830815285802,0.012841397160971784,0.501620153421472,0.30511617824023574,0.47292418608596787,1.0,0.21457841407976452,0.45001387094195217,0.33863940553434696,0.4242783724511797,0.23549764349389668,0.35535647407882726,0.0055025802291514565,0.103695978585826,0.3859161496200042,0.30155813500557116,0.014601937818919575
水果辣椒(份),0.10857674310703644,0.0852385174426024,0.031558867321850904,0.06992536290762698,0.09466351219188607,0.12138116604159552,0.09413297933057063,0.1445963200966035,0.08421102260195237,0.007386212271519746,0.06326328140382999,0.055851400229315486,0.005535467932856099,0.07385388790144397,0.01577644402718115,0.006763357205646788,0.03909828629119989,0.02588147129549316,0.05069439610245571,0.008638871896555109,0.07996661267367901,0.2587953975792832,0.018870742096229718,0.012549524823581997,0.020669296195950582,0.035904649275095665,0.006208606841532585,0.007238845588091347,0.025001726823337785,0.3688201875877699,0.2305507484653603,0.21457841407976452,1.0,0.09615295151396659,0.26030949966330136,0.12111585468177423,0.004701482722935636,0.01401038869354887,0.009200121346944676,0.2706702744823361,0.09357660547243866,0.11330082394203518,0.02887513849907508
螺丝椒(份),0.24635631559868754,0.4002332710527181,0.15999682388506875,0.1126919701427557,0.1332557871617201,0.4259511149200934,0.2928105790494878,0.31081257558883507,0.14909475239121675,0.3727111486788246,0.23322592518267002,0.12672460775469815,0.15928732465146386,0.16757153691837953,0.03579612458953355,0.07362427898650026,0.048159892394374,0.05872402991813148,0.11502357031459036,0.01960125705065874,0.6756628311165189,0.28965370702726834,0.04281696395016418,0.028474373144570426,0.046897811733333704,0.6865827960046214,0.0459233371132945,0.016424652989562912,0.5837396600156373,0.04064513869508596,0.2682653624995615,0.45001387094195217,0.09615295151396659,1.0,0.2417564011085044,0.24824654757012315,0.4558011993413489,0.6474505062565716,0.03671758503664256,0.04718374600505646,0.5768220576515507,0.7606629452046682,0.25797685316655017
